Segment,Academia and Gov Research,,,,
,,,,,
ID,2017,2018,2019,2020,2021
Client 1018,,,3206.23,,
Client 1070,,,2783.95,,
Client 1071,,,,2379.95,1937.84
Client 1074,,,,,3603.53
Client 1125,,,,,5855.6
Client 1129,,,,,793.69
Client 113,,,,,755.58
Client 1139,,,,,197.43
Client 1144,,,,18885.17,1492.2
Client 1166,,,,4606.37,
Client 1179,,,92.36,3769.2,5977.44
Client 1180,,,,587.85,
Client 1194,,,163.22,,
Client 1224,,,,,7566.93
Client 1225,,,3128.51,,
Client 1228,,,,,9197.67
Client 1229,,,,9005.29,
Client 1230,,,,,29308.05
Client 1243,,,,,656.61
Client 1251,,,,,23395.63
Client 1253,,,,,5060.85
Client 1279,,,,9435.14,82657.32
Client 1282,,,,241.13,
Client 1283,,,549.28,,
Client 1301,,,,4625.1,
Client 1309,,,,,2022.87
Client 1331,,,,20057.02,
Client 1341,,,,,5254.07
Client 1351,,,,2253.46,
Client 1379,,,922.53,,
Client 1419,,,2044.73,233.48,4306.69
Client 144,,,,,2902.73
Client 1449,,,,,320.68
Client 145,,,,299.89,
Client 1471,,1560.6,,1300.1,
Client 1484,,,,,37884.47
Client 1525,,,,2600.06,4651.58
Client 1562,,,,,2207.56
Client 1582,,,225.51,,
Client 1585,,,,10047.29,25312.78
Client 1603,,,,2058.47,39454.05
Client 1622,,,897.77,,
Client 1637,,,3560.42,,
Client 1654,,,,,29246.45
Client 1675,,,320.49,4760.4,
Client 1689,,,,1017.5,1631.62
Client 17,,,1188.72,,
Client 1718,,,,211.99,
Client 1722,378,,,867.29,941.26
Client 1725,,,332.02,,
Client 1744,,,1244.3,,4354.36
Client 1753,,,,618.44,
Client 1784,,,,,7570.53
Client 1826,,,,,3203.75
Client 1835,,,,86.55,
Client 1849,,,,41380.15,7226.68
Client 1851,,,,,11930.16
Client 1853,,,,461.61,
Client 1867,,,621.79,,
Client 1868,,,1682.36,154.8,105.5
Client 1869,,,47.9,,1844.5
Client 1870,,,261.53,,
Client 1871,,,,5015.17,1038.89
Client 1872,,,,,5758.92
Client 1893,,231.48,2373.57,,
Client 1913,,,,9661.94,
Client 1923,,,,228.5,1586.15
Client 1928,,,,,2117.24
Client 1935,,,,,18706.61
Client 1937,,,21046.4,,
Client 1944,,,,,517.11
Client 1945,,,,,9958.69
Client 1946,262,,,,
Client 1947,,,,170.12,
Client 1948,,,,,1835.72
Client 1949,,,1427.34,,
Client 1950,,,,3011.98,
Client 1951,,146.37,,,153.52
Client 1952,,,,2851.86,165.33
Client 1953,,,,,3879.81
Client 1954,,,,1616.69,13124.9
Client 1955,,,,,5468.24
Client 1956,,,,17103.48,
Client 1957,,,7473.46,,
Client 1958,,,,177.15,861.11
Client 1959,,2563.72,6106.15,8436.88,
Client 1960,,,,,1009.12
Client 1961,,,42087.19,551.63,1985.36
Client 1962,,,,,6342.16
Client 1963,,,,,4689.62
Client 1964,,,,,1855
Client 1965,,,,,237.57
Client 1966,,1119.7,,,
Client 1967,,,,1167.35,
Client 1968,,,,,28865.11
Client 1969,,,,,1264.09
Client 1970,,,,8733.56,4363.93
Client 1971,,,,,3558.74
Client 1972,2556.09,169.56,,,
Client 1973,,,,700.25,
Client 1974,,,,3576.13,
Client 1975,,,,11198.81,970.17
Client 1976,,505.42,,,
Client 1977,,,921.89,,
Client 1978,,,385.93,,12414.92
Client 1979,,,,,460.32
Client 1980,,,5896.65,,
Client 1981,,,,,6099.1
