Segment,Enterprise,,,,
,,,,,
ID,2017,2018,2019,2020,2021
Client 100,,,,,19714.27
Client 1002,,,,,16132.71
Client 101,,,,,987.12
Client 1010,,,,,4901.08
Client 1011,,16995.8,4486.92,,
Client 1012,,,118.74,2774.26,4646.54
Client 1019,,,267.17,,2169.18
Client 102,,,,,143.69
Client 1032,,,,109804.63,331.83
Client 1033,,,,,831.91
Client 105,,,,,1307.68
Client 1050,,2030.06,,,
Client 1055,,4622.14,14224.1,8845.79,50.66
Client 1056,,,,,3195.93
Client 1059,,,,50.77,
Client 106,,,3969.88,,4836.22
Client 1068,,,,,7536.45
Client 1073,,,1345.56,,
Client 1082,,,,,5840.64
Client 1085,,,,,819.85
Client 1095,,,19139.85,10895.91,5667.87
Client 1096,,,,,932.1
Client 110,,1220.84,,28074.39,2772.21
Client 1109,,,5162.88,,
Client 1114,,,,154.89,
Client 1122,,,,2802.92,7540.65
Client 1126,,,4201.24,,74454.69
Client 1128,,4953.4,2915.31,,
Client 1141,,,173.02,166.81,4122.34
Client 1145,,,29973.74,4511.85,
Client 1154,,,,,2732.79
Client 1162,,,,4696.49,40165.48
Client 1175,,,,,20880.03
Client 118,,,6529.97,3007.64,8383.17
Client 1181,,,,,21231.33
Client 1184,,,8788.33,7724.6,
Client 1199,,,3156.3,10095.72,15129.7
Client 1200,,,,,5895.1
Client 1209,,,,,5418.56
Client 1211,,,2368.47,,
Client 1252,,,,,7640.5
Client 1256,,2818.31,3204.13,,
Client 126,,8677.55,171638.02,41480,
Client 1265,,,,22659.99,32957.96
Client 1267,,,,,50234.37
Client 1273,,2501.79,,28031.94,7226.52
Client 1276,,,,14732.03,
Client 1277,,,1921.8,,492.44
Client 1284,,,243.38,,
Client 1289,,,6085.95,5945.66,
Client 129,,2741.84,12861.39,4228.73,10696.48
Client 1290,,,,,46670.94
Client 1291,,,,,336583.34
Client 1297,,,,,468.71
Client 1298,,,19844.08,,5242.26
Client 1302,,,,,2605.74
Client 1304,,,,13958.8,2073.65
Client 1305,,,304.07,,
Client 131,,,,3443.59,6892.05
Client 1313,,,,4985.35,
Client 1314,,,686.02,1443.87,62175.05
Client 1319,,,7291.79,3345.27,5465.77
Client 1320,,,,,2534.86
Client 1339,,,,,4055.09
Client 1342,716.59,9601.9,15331.44,15408.67,11644.78
Client 1343,,558.63,,,
Client 1358,,,,2030.78,
Client 1359,,,,,10092.11
Client 1365,,3298.46,224.78,7004.52,21221.55
Client 1377,,,7331.37,5434.53,
Client 138,,,,339.19,
Client 1381,,,,,906.52
Client 1390,,3046.98,,,2669.52
Client 1410,,,,2459.01,
Client 1433,,558.49,,,27.43
Client 1434,34288.81,20565.67,38892.7,,
Client 1435,,,3863.72,,
Client 1455,,,5740.92,13134.31,24579.33
Client 1467,,,,,7667.59
Client 148,,,821.65,,
Client 1499,,,,436.78,
Client 1500,,,,411.74,22844.92
Client 1504,,,,,82697.23
Client 1522,,,4624.99,,
Client 1532,,726.12,,,
Client 1579,,,,,208.5
Client 1586,,,,5828.43,
Client 1590,,,22661.91,3611.45,13810.22
Client 1591,,,,18083.66,10600.56
Client 1593,,37362.49,11566.62,18401.88,31956.51
Client 1594,,,,,3214.96
Client 1595,,,,7891.67,
Client 1599,,,,9547.66,3351.89
Client 16,,,,,2382.37
Client 1606,,,,,184.64
Client 1616,,,,28482.5,38470.46
Client 1617,,,,21019.6,27677.56
Client 1618,,,,3632.69,
