Segment,Large,,,,
,,,,,
ID,2017,2018,2019,2020,2021
Client 10,,,2170,224.22,6640.01
Client 1003,,,,1653.03,
Client 1005,,,,,103628.29
Client 1039,,,,419.59,1479.19
Client 1061,,,5278.22,1321.51,
Client 1065,,,,,431.07
Client 1077,,,,,9872.13
Client 1127,,,,,583.93
Client 1130,287,,,,34556.02
Client 1160,,,13885,12135.02,11024.05
Client 117,,,,,609.54
Client 1177,,,,1047.51,615.83
Client 1190,,,,3879.32,198.3
Client 1237,,,,,3736.35
Client 1245,,,,2012.35,
Client 1259,,,2861.55,325.4,3077.48
Client 1272,,,,,3317.93
Client 1322,,,,,95960.75
Client 1338,,,3591.13,1473.39,
Client 1371,,,,,11094.48
Client 1378,,,6505.7,,
Client 1403,,,4452.09,,
Client 1405,,,5362.29,,
Client 1439,,,,35252.62,47302.57
Client 147,,,,,5452.95
Client 1472,,,8576.94,,
Client 1474,,,,,695.51
Client 1501,,310.05,29227.95,23271.16,11014.3
Client 1533,,,,,292207.5
Client 1566,,,,,3658.59
Client 1587,,,,1259.36,
Client 165,,,34675.52,3471.8,
Client 1657,,,886.04,,
Client 1695,,,,,3308.69
Client 1729,,,,,6068.96
Client 1790,,,,,9977.22
Client 1807,,,,,3327.11
Client 1831,,,,10487,143834.62
Client 1846,,,5532.58,7491.76,1202.88
Client 1860,,,,4728.5,7957.57
Client 1925,,,,1926.97,
Client 1940,,,,8541.33,10265.35
Client 2024,,5236.71,,,
Client 2069,,,,,7603.65
Client 2073,,,,,157.56
Client 2118,,,797.96,,
Client 2119,,,227.11,,
Client 220,,,9596.47,,4979.2
Client 356,,,,,6940.51
Client 4,,,,3480.09,54943.63
Client 408,,7997.42,,,
Client 422,,,,,5894.92
Client 437,,,221.56,,
Client 453,,,,,15290.34
Client 458,,,,918.55,4773.9
Client 462,,,,,2822.24
Client 466,,,,,51161.81
Client 49,,,,2117.61,
Client 504,,,,,414.68
Client 51,,,,7576.42,7554.33
Client 534,,,,,3775.18
Client 556,,,,5229.99,4951.74
Client 557,,,,5142.45,
Client 588,,516.33,6087.02,272.85,
Client 589,,,,,336.76
Client 654,,,1940.81,,
Client 662,,,27111.19,2048.09,
Client 723,,,218.24,,
Client 744,,,,,103.98
Client 764,,,168712.04,155233.76,55627.97
Client 765,,,,,12716.22
Client 766,,,,,10857.25
Client 780,,,3022.52,,
Client 781,11943.42,25795.881,28227.18,5146.29,9219.35
Client 788,,,,10361.56,
Client 794,,,,3741.92,8386.08
Client 802,,,,9373.04,545.14
Client 826,,,,1159.28,
Client 843,,,,,3196.22
Client 844,,,,1876.71,
Client 868,,,,,5079.41
Client 876,,,4952.48,,
Client 887,,,,,8572.17
Client 946,,,,26879.31,1880.56
Client 952,,,2251.71,2389.39,
Client 966,,,947.69,933.77,
Client 969,,,,,7063.3
Client 975,,,5283.73,1792.33,
Client 979,,,,11396.87,117317.13
