Segment,Overall,,,,
,,,,,
ID,2017,2018,2019,2020,2021
Client 1,,,376.69,,
Client 10,,,2170,224.22,6640.01
Client 100,,,,,19714.27
Client 1000,,,,,1936.35
Client 1001,,,,,7166.98
Client 1002,,,,,16132.71
Client 1003,,,,1653.03,
Client 1004,,566.4,14813.47,20332.52,56481.98
Client 1005,,,,,103628.29
Client 1006,,,,2086.32,
Client 1007,,,,627.42,
Client 1008,,,,,139.57
Client 1009,,,,640.51,352.31
Client 101,,,,,987.12
Client 1010,,,,,4901.08
Client 1011,,16995.8,4486.92,,
Client 1012,,,118.74,2774.26,4646.54
Client 1013,,201.01,,,
Client 1014,,,,40352.74,
Client 1015,,21.23,,,
Client 1016,,,,,6125.28
Client 1017,,,,,295663.72
Client 1018,,,3206.23,,
Client 1019,,,267.17,,2169.18
Client 102,,,,,143.69
Client 1020,,,,,1007.52
Client 1021,,,,3249.09,
Client 1022,,,266.5,,
Client 1023,,,,,41014.37
Client 1024,,,,,2541.06
Client 1025,,,3406.98,,
Client 1026,,,,,5528.54
Client 1027,,,,69.99,
Client 1028,,,,,13161.07
Client 1029,,,2470.74,,
Client 103,,,10234.47,7906.5,2511.91
Client 1030,,14344.85,13508.7,3544.43,382.51
Client 1031,,,,,3793.59
Client 1032,,,,109804.63,331.83
Client 1033,,,,,831.91
Client 1034,,,,,318.16
Client 1035,,,,4238.82,
Client 1036,,,,1181.77,
Client 1037,,,,,357.35
Client 1038,,,,,4299.81
Client 1039,,,,419.59,1479.19
Client 104,,,,,2355.37
Client 1040,,,16196.04,,4976.89
Client 1041,,,,,3734.89
Client 1042,,,,2928.69,
Client 1043,,,,160.14,160.97
Client 1044,,,,,107.94
Client 1045,,,,,14520.62
Client 1046,,,,,3605.62
Client 1047,,,,49356.79,983.41
Client 1048,,,,,833.22
Client 1049,,,8058.68,,
Client 105,,,,,1307.68
Client 1050,,2030.06,,,
Client 1051,,,,,2135.36
Client 1052,,,,,196.9
Client 1053,,,,,5954.18
Client 1054,,,,6664.29,
Client 1055,,4622.14,14224.1,8845.79,50.66
Client 1056,,,,,3195.93
Client 1057,,,,2798.75,
Client 1058,,,273.89,,
Client 1059,,,,50.77,
Client 106,,,3969.88,,4836.22
Client 1060,,1290.69,,,
Client 1061,,,5278.22,1321.51,
Client 1062,,,,,3157.4
Client 1063,,,2621.2,,
Client 1064,,,18323.84,31407.66,214542.78
Client 1065,,,,,431.07
Client 1066,,,,,11053.84
Client 1067,,,,231.3,
Client 1068,,,,,7536.45
Client 1069,,,,,58.86
Client 107,,,,959.75,
Client 1070,,,2783.95,,
Client 1071,,,,2379.95,1937.84
Client 1072,,,,5995.71,517.15
Client 1073,,,1345.56,,
Client 1074,,,,,3603.53
Client 1075,,895.18,,,
Client 1076,,,,,237.58
Client 1077,,,,,9872.13
Client 1078,1153.5,7267.37,8731.56,,10682.32
Client 1079,,,,,9926.84
Client 108,,,,,403.34
Client 1080,,6746.5,,,
Client 1081,,,47.58,,
Client 1082,,,,,5840.64
Client 1083,,,,,3342.93
Client 1084,,,,,286.58
Client 1085,,,,,819.85
Client 1086,,,,,3161.85
Client 1087,,,,25866.58,
Client 1088,,,,1808.76,12519.61
Client 1089,,,,,454.07
Client 109,,,,7637.15,212.96
Client 1090,,,,14736.88,11291.13
Client 1091,,,,,6702.03
Client 1092,,,,4118.87,2925.74
Client 1093,,,,,8420
Client 1094,,,,,424.76
