Segment,Small,,,,
,,,,,
ID,2017,2018,2019,2020,2021
Client 1,,,376.69,,
Client 1000,,,,,1936.35
Client 1001,,,,,7166.98
Client 1004,,566.4,14813.47,20332.52,56481.98
Client 1006,,,,2086.32,
Client 1007,,,,627.42,
Client 1008,,,,,139.57
Client 1013,,201.01,,,
Client 1014,,,,40352.74,
Client 1015,,21.23,,,
Client 1016,,,,,6125.28
Client 1017,,,,,295663.72
Client 1020,,,,,1007.52
Client 1021,,,,3249.09,
Client 1022,,,266.5,,
Client 1023,,,,,41014.37
Client 1024,,,,,2541.06
Client 1025,,,3406.98,,
Client 1026,,,,,5528.54
Client 1027,,,,69.99,
Client 1028,,,,,13161.07
Client 1029,,,2470.74,,
Client 103,,,10234.47,7906.5,2511.91
Client 1030,,14344.85,13508.7,3544.43,382.51
Client 1031,,,,,3793.59
Client 1034,,,,,318.16
Client 1035,,,,4238.82,
Client 1037,,,,,357.35
Client 1038,,,,,4299.81
Client 104,,,,,2355.37
Client 1040,,,16196.04,,4976.89
Client 1041,,,,,3734.89
Client 1042,,,,2928.69,
Client 1043,,,,160.14,160.97
Client 1044,,,,,107.94
Client 1045,,,,,14520.62
Client 1046,,,,,3605.62
Client 1048,,,,,833.22
Client 1049,,,8058.68,,
Client 1051,,,,,2135.36
Client 1052,,,,,196.9
Client 1053,,,,,5954.18
Client 1054,,,,6664.29,
Client 1057,,,,2798.75,
Client 1058,,,273.89,,
Client 1060,,1290.69,,,
Client 1062,,,,,3157.4
Client 1063,,,2621.2,,
Client 1064,,,18323.84,31407.66,214542.78
Client 1066,,,,,11053.84
Client 1067,,,,231.3,
Client 1069,,,,,58.86
Client 1072,,,,5995.71,517.15
Client 1075,,895.18,,,
Client 1076,,,,,237.58
Client 1079,,,,,9926.84
Client 108,,,,,403.34
Client 1080,,6746.5,,,
Client 1081,,,47.58,,
Client 1083,,,,,3342.93
Client 1084,,,,,286.58
Client 1086,,,,,3161.85
Client 1087,,,,25866.58,
Client 1088,,,,1808.76,12519.61
Client 1089,,,,,454.07
Client 109,,,,7637.15,212.96
Client 1090,,,,14736.88,11291.13
Client 1091,,,,,6702.03
Client 1092,,,,4118.87,2925.74
Client 1093,,,,,8420
Client 1094,,,,,424.76
Client 1097,,,,,6342.09
Client 1099,,,,,1438.42
Client 11,,,,,698.18
Client 1101,,,,1263.7,
Client 1102,,,,,2906.33
Client 1103,,,,50000,
Client 1105,,,,,1468.81
Client 1106,,,,,4825.12
Client 1107,,,,,18138.23
Client 1108,,,,,83.64
Client 1110,,,37.01,,
Client 1111,,,,,5413.36
Client 1113,,,1263.53,,
Client 1115,,,,,43286.59
Client 1116,,1576.46,,,
Client 1118,,449.97,,,
Client 1119,,,,,406.28
Client 1120,,,,639.92,
Client 1121,,,,,336.13
Client 1123,,,,463.3,
Client 1124,,,,,475.93
Client 1131,,,1972.69,,
Client 1132,,,,,10200.45
Client 1134,,,,,11178.23
Client 1135,,675.04,228.41,4009.24,
Client 1136,,,,,13994.46
Client 1137,,,,11973.12,
Client 1138,,,,,48.53
Client 114,,,,,856.82
Client 1140,,,,,2169.61
Client 1143,,,,,19.75
Client 1146,,,,2643.84,
Client 1147,,,15479.16,5422.75,978.33
Client 1148,,7418.57,,,
Client 1149,,,,,2534.38
Client 1150,,,,14097.71,14827.21
Client 1151,,,,,6372.64
Client 1152,,,,,34.95
Client 1153,,,,,5125.03
Client 1155,,,,,76594.52
